stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
51629,Beaubien / De Lanaudière,45.540561,-73.598947,0,
51630,Saint-Michel / Jean-Talon,45.558849,-73.598117,0,
51631,Jean-Talon / Saint-Michel,45.559015,-73.598287,0,
51632,Saint-Michel / Jean-Talon,45.55889,-73.598745,0,
51633,Jean-Talon / Saint-Michel,45.558643,-73.598391,0,
51635,D'Iberville / Bélanger,45.552052,-73.597944,0,
51636,Bélanger / D'Iberville,45.552317,-73.598445,0,
51637,Bélanger / D'Iberville,45.552043,-73.598478,0,
51638,D'Iberville / Bélanger,45.551955,-73.598113,0,
51639,Allard / De Montmagny,45.449824,-73.601,0,
51640,Allard / De Montmagny,45.449668,-73.601262,0,
51641,Saint-Laurent / Saint-Viateur,45.525785,-73.598686,0,
51642,Saint-Viateur / Saint-Laurent,45.525982,-73.598961,0,
51643,Saint-Viateur / Saint-Laurent,45.525691,-73.598919,0,
51644,Christophe-Colomb / de Bellechasse,45.536406,-73.598156,0,
51645,Christophe-Colomb / de Bellechasse,45.5364,-73.598583,0,
51646,Station Rosemont (Saint-Denis / Rosemont),45.531018,-73.598215,0,
51647,Station Rosemont (Rosemont / Saint-Denis),45.531217,-73.598465,0,
51648,Station Rosemont (Rosemont / De Saint-Vallier),45.531597,-73.597819,0,
51649,Station Rosemont (Saint-Denis / Rosemont),45.530575,-73.597706,0,
51650,Villeray / 22e Avenue,45.568516,-73.597401,0,
51651,De Lorimier / Saint-Zotique,45.547104,-73.597801,0,
51652,De Lorimier / Saint-Zotique,45.547135,-73.598192,0,
51653,Côte-des-Neiges / Gage,45.495362,-73.599367,0,
51654,Beaubien / Fabre,45.54209,-73.597754,0,
51655,Beaubien / Fabre,45.541811,-73.597814,0,
51656,Pie-IX / Villeray,45.569015,-73.5967,0,
51657,Villeray / Pie-IX,45.569133,-73.596858,0,
51658,Pie-IX / Villeray,45.568964,-73.597114,0,
51659,Villeray / Pie-IX,45.56883,-73.596943,0,
51660,Station Rosemont,45.531062,-73.597207,0,
51661,Station Rosemont,45.531003,-73.597673,0,
51662,Jean-Talon / 13e Avenue,45.560384,-73.597056,0,
51663,Jean-Talon / 13e Avenue,45.560153,-73.597042,0,
51664,Côte-des-Neiges / Hill Park,45.495578,-73.598619,0,
51665,Casgrain / Saint-Viateur,45.526943,-73.597354,0,
51666,Villeray / 23e Avenue,45.569416,-73.596422,0,
51667,Jolicoeur / Dumas,45.456229,-73.599517,0,
51668,Jolicoeur / Dumas,45.456061,-73.599738,0,
51669,Armand-Bombardier / Philippe-Lebon,45.636568,-73.594742,0,
51670,Armand-Bombardier / Philippe-Lebon,45.636639,-73.595223,0,
51671,du Parc / Fairmount,45.520366,-73.597286,0,
51672,Station Rosemont (De Chateaubriand / Rosemont),45.532556,-73.597533,0,
51673,du Parc / Fairmount,45.520389,-73.59776,0,
51674,Saint-Viateur / De Gaspé,45.527512,-73.597355,0,
51676,Papineau / Beaubien,45.543149,-73.596433,0,
51677,Beaubien / Papineau,45.543306,-73.59661,0,
51678,Papineau / Beaubien,45.543153,-73.596836,0,
51679,Beaubien / Papineau,45.542996,-73.596699,0,
51680,Le Boulevard / de Trafalgar,45.493192,-73.597907,0,
51681,Le Boulevard / de Trafalgar,45.493083,-73.597803,0,
51682,Bélanger / 6e Avenue,45.554711,-73.596363,0,
51683,Bélanger / 6e Avenue,45.554461,-73.596377,0,
51684,Rosemont / Saint-Hubert,45.533282,-73.596559,0,
51685,Rosemont / Saint-Hubert,45.53304,-73.596559,0,
51686,Saint-Hubert / Rosemont,45.53343,-73.597021,0,
51687,des Trinitaires / Jogues,45.446381,-73.599004,0,
51688,des Trinitaires / Jogues,45.446232,-73.599434,0,
51689,27e Avenue / Octave-Pelletier,45.64175,-73.593587,0,
51690,27e Avenue / Octave-Pelletier,45.641908,-73.593912,0,
51691,Perras / 25e Avenue,45.6399,-73.593923,0,
51692,Jean-Talon / 15e Avenue,45.561944,-73.595653,0,
51693,Jean-Talon / 15e Avenue,45.561721,-73.595633,0,
51694,Beaubien / Chabot,45.54443,-73.595555,0,
51695,Beaubien / Chabot,45.54418,-73.595582,0,
51696,Monk / Pierre-Héroux,45.462538,-73.597459,0,
51697,Monk / Pierre-Héroux,45.462064,-73.59744,0,
51698,Maurice-Duplessis / La Valinière,45.628367,-73.593373,0,
51699,Maurice-Duplessis / La Valinière,45.628252,-73.593929,0,
51700,Saint-Rémi / Saint-Jacques,45.473178,-73.596576,0,
51701,Saint-Jacques / Saint-Rémi,45.473756,-73.597281,0,
51703,Bélanger / 9e Avenue,45.556168,-73.595096,0,
51704,Bélanger / 9e Avenue,45.555947,-73.595084,0,
51705,Saint-Laurent / Maguire,45.524426,-73.595689,0,
51706,Jean-Talon / 17e Avenue,45.563042,-73.59467,0,
51707,Jean-Talon / 17e Avenue,45.562788,-73.594676,0,
51709,du Parc / Laurier,45.51961,-73.59559,0,
51710,Laurier / du Parc,45.519852,-73.595749,0,
51711,du Parc / Laurier,45.519634,-73.596043,0,
51712,Laurier / du Parc,45.519463,-73.595842,0,
51713,Laurier / du Parc,45.519373,-73.596166,0,
51714,Le Boulevard / McDougall,45.49507,-73.596458,0,
51715,McDougall / The Boulevard,45.494952,-73.596653,0,
51716,Le Boulevard / McDougall,45.49472,-73.596495,0,
51717,D'Iberville / Saint-Zotique,45.550542,-73.594793,0,
51718,D'Iberville / Saint-Zotique,45.550637,-73.595287,0,
51719,Perras / 27e Avenue,45.640878,-73.59257,0,
51720,Perras / 27e Avenue,45.64057,-73.592625,0,
51721,Saint-Urbain / Fairmount,45.522678,-73.595781,0,
51722,Armand-Bombardier / André-Ampère,45.634695,-73.592743,0,
51723,Armand-Bombardier / André-Ampère,45.634774,-73.593232,0,
51724,Jolicoeur / Hamilton,45.456611,-73.597364,0,
51725,Jolicoeur / Hamilton,45.456441,-73.597611,0,
51726,Rosemont / Christophe-Colomb,45.535048,-73.594953,0,
51727,Christophe-Colomb / Rosemont,45.534891,-73.5952,0,
51728,Rosemont / Christophe-Colomb,45.534742,-73.595019,0,
51729,Christophe-Colomb / Rosemont,45.535143,-73.595322,0,
58725,Station Mont-Royal (du Mont-Royal / Berri),45.525072,-73.582026,0,
51730,Allard / Dumas,45.450454,-73.597437,0,
51731,Allard / Dumas,45.450302,-73.597668,0,
51732,Côte-des-Neiges / The Boulevard,45.49544,-73.595567,0,
51733,Monk / Denonville,45.461075,-73.597067,0,
51734,Monk / Denonville,45.460881,-73.596835,0,
51737,Everett / Pie-IX,45.56745,-73.593988,0,
51738,De Lorimier / Beaubien,45.545513,-73.594382,0,
51739,Beaubien / De Lorimier,45.545649,-73.594556,0,
51740,De Lorimier / Beaubien,45.545529,-73.594744,0,
51741,Beaubien / De Lorimier,45.545404,-73.594554,0,
51742,Casgrain / Maguire,45.52585,-73.594975,0,
51743,Saint-Michel / Bélanger,45.55739,-73.593711,0,
51744,Bélanger / Saint-Michel,45.55753,-73.593911,0,
51745,Saint-Michel / Bélanger,45.557335,-73.594228,0,
51746,Bélanger / Saint-Michel,45.557202,-73.593994,0,
51747,Monk / Jacques-Hertel,45.459891,-73.596625,0,
51748,Saint-Laurent / Fairmount,45.523823,-73.594362,0,
51749,Jean-Talon / 19e Avenue,45.564309,-73.593322,0,
51750,du Parc / Saint-Joseph,45.518983,-73.594163,0,
51751,du Parc / Saint-Joseph,45.519009,-73.594623,0,
51752,De Gaspé / Maguire,45.526219,-73.594426,0,
51753,Everett / 24e Avenue,45.56889,-73.592891,0,
51754,Rosemont / De Normanville,45.53637,-73.593768,0,
51755,Rosemont / De Normanville,45.536112,-73.593778,0,
51756,Maurice-Duplessis / No 7861,45.630041,-73.591567,0,
51757,Jean-Talon / 20e Avenue,45.565076,-73.592822,0,
51759,20e Avenue / Jean-Talon,45.565177,-73.593251,0,
51760,Maurice-Duplessis / No 7860,45.629775,-73.591524,0,
51762,des Trinitaires / Dumas,45.445764,-73.596407,0,
51763,Laurier / Saint-Urbain,45.522019,-73.59387,0,
51764,Saint-Urbain / Laurier,45.521888,-73.594064,0,
51765,Laurier / Saint-Urbain,45.521684,-73.593912,0,
51766,Armand-Bombardier / Jean-Vincent,45.633091,-73.591032,0,
51767,Armand-Bombardier / Jean-Vincent,45.633152,-73.591503,0,
51768,Papineau / de Bellechasse,45.541558,-73.593052,0,
51769,Papineau / de Bellechasse,45.541589,-73.593426,0,
51770,Saint-Patrick / de l'Église,45.464188,-73.595748,0,
51771,de l'Église / No 2244,45.464382,-73.594518,0,
51772,Bélanger / 13e Avenue,45.558796,-73.592796,0,
51773,Bélanger / 13e Avenue,45.558583,-73.592782,0,
51774,Notre-Dame / de Carillon,45.468848,-73.595039,0,
51775,École James-Lyng (Notre-Dame / de Carillon),45.468471,-73.595791,0,
51776,Jolicoeur / Monk,45.456999,-73.59525,0,
51777,Monk / Jolicoeur,45.457016,-73.595542,0,
51778,Jolicoeur / Monk,45.456815,-73.595571,0,
51779,Monk / Jolicoeur,45.456809,-73.595308,0,
51781,Beaubien / des Écores,45.547472,-73.592774,0,
51783,Henri-Bourassa / Marc-Aurèle-Fortin,45.619715,-73.590006,0,
51784,Henri-Bourassa / Marc-Aurèle-Fortin,45.619243,-73.590233,0,
51785,des Trinitaires / D'Aragon,45.445755,-73.594968,0,
51786,Saint-Laurent / Laurier,45.523032,-73.592618,0,
51787,Rosemont / Garnier,45.538828,-73.59246,0,
51788,Rosemont / Garnier,45.538339,-73.5923,0,
51789,Saint-Antoine / De Courcelle,45.475423,-73.593656,0,
51796,Bélanger / 15e Avenue,45.55996,-73.59158,0,
51797,Saint-Urbain / Saint-Joseph,45.521213,-73.59267,0,
51798,du Parc / Villeneuve,45.518121,-73.592207,0,
51799,du Parc / Villeneuve,45.518117,-73.592595,0,
51800,Monk / Springland,45.453924,-73.594221,0,
51801,Monk / Springland,45.454135,-73.59446,0,
51802,D'Iberville / Beaubien,45.548952,-73.591382,0,
51803,Beaubien / D'Iberville,45.549103,-73.591548,0,
51804,D'Iberville / Beaubien,45.549003,-73.591776,0,
51805,Beaubien / D'Iberville,45.548834,-73.591579,0,
51806,Perras / Alfred-Nobel,45.64262,-73.589189,0,
51807,Perras / Alfred-Nobel,45.642284,-73.589297,0,
51809,Maurice-Duplessis / Armand-Bombardier,45.631699,-73.589396,0,
51810,Armand-Bombardier / Maurice-Duplessis,45.631509,-73.589748,0,
51811,Maurice-Duplessis / Armand-Bombardier,45.631239,-73.589598,0,
51812,Bélanger / 16e Avenue,45.56086,-73.591002,0,
51813,Notre-Dame / de la Côte-Saint-Paul,45.46945,-73.593144,0,
51819,Papineau / Rosemont,45.540651,-73.591084,0,
51820,Rosemont / Papineau,45.540824,-73.591303,0,
51821,Papineau / Rosemont,45.540708,-73.591528,0,
51822,Rosemont / Papineau,45.540546,-73.591313,0,
51823,de la Côte-Saint-Paul / Sainte-Clotilde,45.470181,-73.593162,0,
51824,De Lorimier / de Bellechasse,45.54394,-73.59101,0,
51825,De Lorimier / de Bellechasse,45.543966,-73.591391,0,
51826,Saint-Jacques / Delinelle,45.475198,-73.592938,0,
51827,Saint-Laurent / Saint-Joseph,45.522345,-73.591112,0,
51828,Saint-Joseph / Saint-Laurent,45.522581,-73.591334,0,
51829,Saint-Joseph / Saint-Laurent,45.522144,-73.591403,0,
51830,Bélanger / 17e Avenue,45.561251,-73.590454,0,
51832,De Gaspé / Laurier,45.524848,-73.59141,0,
51833,Saint-Rémi / Acorn,45.471359,-73.592438,0,
51834,Saint-Rémi / de la Côte-Saint-Paul,45.471184,-73.59231,0,
51835,Beaubien / 1re Avenue,45.550519,-73.590313,0,
51836,Jolicoeur / Hadley,45.45717,-73.592736,0,
51837,Jolicoeur / Hadley,45.45706,-73.593069,0,
51838,Saint-Michel / Saint-Zotique,45.556211,-73.589813,0,
51839,Saint-Michel / Saint-Zotique,45.556193,-73.59036,0,
51840,Côte-des-Neiges / Cedar,45.495099,-73.591298,0,
51841,Côte-des-Neiges / Cedar,45.494868,-73.591306,0,
